"자치구별(1)",자치구별(2),2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"자치구별(1)",자치구별(2),총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계
"자치구별(1)",자치구별(2),소계,소계,소계,아파트,아파트,아파트,주상복합,주상복합,주상복합,연립,연립,연립,다세대,다세대,다세대,소계,소계,소계,아파트,아파트,아파트,주상복합,주상복합,주상복합,연립,연립,연립,다세대,다세대,다세대,소계,소계,소계,아파트,아파트,아파트,주상복합,주상복합,주상복합,연립,연립,연립,다세대,다세대,다세대,소계,소계,소계,아파트,아파트,아파트,주상복합,주상복합,주상복합,연립,연립,연립,다세대,다세대,다세대
"자치구별(1)",자치구별(2),단지 (개소),동 (동수),세대 (세대수),단지 (개소),동 (동수),세대 (세대수),단지 (개소),동 (동수),세대 (세대수),단지 (개소),동 (동수),세대 (세대수),단지 (개소),동 (동수),세대 (세대수),단지 (개소),동 (동수),세대 (세대수),단지 (개소),동 (동수),세대 (세대수),단지 (개소),동 (동수),세대 (세대수),단지 (개소),동 (동수),세대 (세대수),단지 (개소),동 (동수),세대 (세대수),단지 (개소),동 (동수),세대 (세대수),단지 (개소),동 (동수),세대 (세대수),단지 (개소),동 (동수),세대 (세대수),단지 (개소),동 (동수),세대 (세대수),단지 (개소),동 (동수),세대 (세대수),단지 (개소),동 (동수),세대 (세대수),단지 (개소),동 (동수),세대 (세대수),단지 (개소),동 (동수),세대 (세대수),단지 (개소),동 (동수),세대 (세대수),단지 (개소),동 (동수),세대 (세대수)
"합계",마포구,200,840,62061,155,762,55731,29,40,5483,4,6,160,12,32,687,203,853,63501,158,775,57171,29,40,5483,4,6,160,12,32,687,195,845,64600,158,775,57171,33,64,7269,4,6,160,-,-,-,217,930,73023,168,828,64907,33,64,7269,4,6,160,12,32,687
"합계",양천구,243,1047,73248,220,1002,69586,10,22,3131,13,23,531,-,-,-,244,1055,73604,221,1010,69942,10,22,3131,13,23,531,-,-,-,245,1059,73647,221,1010,69942,10,22,3131,13,23,531,1,4,43,268,1227,92204,244,1178,88020,11,26,3653,13,23,531,0,0,0
"합계",강서구,322,1241,85216,273,1131,81544,30,30,2037,18,76,1592,1,4,43,314,1336,103046,296,1262,101324,1,1,225,16,69,1454,1,4,43,311,1330,103492,294,1260,101813,1,1,225,16,69,1454,-,-,-,323,1377,107196,304,1302,105189,2,2,510,16,69,1454,1,4,43
"합계",구로구,209,1050,69690,159,795,63289,12,16,1958,38,239,4443,-,-,-,222,1097,72906,164,828,65827,17,22,2498,41,247,4581,-,-,-,224,1106,73659,166,837,66580,17,22,2498,41,247,4581,-,-,-,236,1161,79668,179,894,72629,17,22,2498,40,245,4541,0,0,0
"합계",금천구,105,364,28090,74,278,25453,9,9,1244,22,77,1393,-,-,-,107,365,29809,74,277,25785,11,11,2631,22,77,1393,-,-,-,108,367,29877,74,277,25785,12,13,2699,22,77,1393,-,-,-,110,387,32252,78,298,29790,10,12,1069,22,77,1393,0,0,0
"합계",영등포구,179,710,62304,166,681,59181,8,17,2797,5,12,326,-,-,-,129,641,57705,121,624,54908,8,17,2797,-,-,-,-,-,-,129,641,57705,121,624,54908,8,17,2797,-,-,-,-,-,-,198,812,72468,182,779,68676,11,21,3466,5,12,326,0,0,0
"합계",동작구,149,687,53894,125,641,51366,11,14,2047,13,32,481,-,-,-,152,722,56405,128,676,53877,11,14,2047,13,32,481,-,-,-,152,737,57316,129,693,54836,11,14,2047,12,30,433,-,-,-,159,790,61820,135,745,59068,12,15,2319,12,30,433,0,0,0
"합계",관악구,130,583,42151,107,501,40697,-,-,-,23,82,1454,-,-,-,134,588,42383,108,502,40839,-,-,-,26,86,1544,-,-,-,132,600,42408,108,502,40839,-,-,-,23,82,1454,1,16,115,147,634,50519,123,550,48957,1,2,108,23,82,1454,0,0,0
"합계",서초구,232,1040,77734,217,1009,72379,15,31,5355,-,-,-,-,-,-,247,1104,82813,231,1056,77337,15,32,5361,-,-,-,1,16,115,245,1083,82266,228,1049,76866,15,32,5310,-,-,-,2,2,90,257,1142,87287,239,1091,81666,17,35,5506,0,0,0,1,16,115
"합계",강남구,279,1510,110708,232,1429,101469,43,55,8661,4,26,578,-,-,-,266,1413,114715,240,1352,106985,19,31,7024,5,28,616,2,2,90,264,1415,114255,240,1356,106616,19,31,7023,5,28,616,-,-,-,273,1478,118978,248,1419,111277,20,32,7081,4,26,578,1,1,42
"합계",송파구,202,1426,118955,161,1342,112294,36,68,6328,5,16,333,-,-,-,185,1392,115376,164,1329,110500,13,45,4510,8,18,366,-,-,-,178,1396,116400,161,1337,111602,13,45,4510,4,14,288,-,-,-,191,1489,123800,173,1428,118906,14,47,4606,4,14,288,0,0,0
"합계",강동구,222,801,61149,184,705,57467,22,25,2624,16,71,1058,-,-,-,247,942,72602,209,846,69026,22,25,2624,16,71,952,-,-,-,232,976,79105,199,890,75443,20,25,2778,13,61,884,-,-,-,243,1038,85545,207,949,81302,24,29,3423,12,60,820,0,0,0
