"동별","주택종류별","항목","단위","2018 년","2019 년","2020 년","2021 년","2022 년",
"관악구","단독주택","주택종류별 주택 (동별)","","21584","21510","21249","21109","20855",
"관악구","일반단독주택","주택종류별 주택 (동별)","","4153","3735","3564","3514","3473",
"관악구","다가구주택","주택종류별 주택 (동별)","","14419","14687","14545","14334","14053",
"관악구","영업겸용주택","주택종류별 주택 (동별)","","3012","3088","3140","3261","3329",
"관악구","아파트","주택종류별 주택 (동별)","","53915","54355","55417","55524","57133",
"관악구","연립주택","주택종류별 주택 (동별)","","6442","6438","6218","6214","6224",
"관악구","다세대주택","주택종류별 주택 (동별)","","41274","42253","42770","43014","43684",
"관악구","비거주용건물내주택","주택종류별 주택 (동별)","","1933","1970","1914","1922","1882",
"서초구","종류별 주택수","주택종류별 주택 (동별)","","132040","131777","133528","135171","132706",
"서초구","단독주택","주택종류별 주택 (동별)","","6395","6331","5481","5326","5187",
"서초구","일반단독주택","주택종류별 주택 (동별)","","984","975","871","831","812",
"서초구","다가구주택","주택종류별 주택 (동별)","","4323","4262","3579","3472","3368",
"서초구","영업겸용주택","주택종류별 주택 (동별)","","1088","1094","1031","1023","1007",
"서초구","아파트","주택종류별 주택 (동별)","","93299","92106","94499","95298","92711",
"서초구","연립주택","주택종류별 주택 (동별)","","5592","5489","5356","5286","5287",
"서초구","다세대주택","주택종류별 주택 (동별)","","25426","26531","26931","28062","28377",
"서초구","비거주용건물내주택","주택종류별 주택 (동별)","","1328","1320","1261","1199","1144",
"강남구","종류별 주택수","주택종류별 주택 (동별)","","171431","170444","173745","175536","178493",
"강남구","단독주택","주택종류별 주택 (동별)","","7283","7196","6968","6500","6223",
"강남구","일반단독주택","주택종류별 주택 (동별)","","976","910","839","773","744",
"강남구","다가구주택","주택종류별 주택 (동별)","","4823","4801","4669","4338","4121",
"강남구","영업겸용주택","주택종류별 주택 (동별)","","1484","1485","1460","1389","1358",
"강남구","아파트","주택종류별 주택 (동별)","","124418","122664","126023","128437","131599",
"강남구","연립주택","주택종류별 주택 (동별)","","6121","5919","5827","5735","5649",
"강남구","다세대주택","주택종류별 주택 (동별)","","31817","32872","33190","33232","33469",
"강남구","비거주용건물내주택","주택종류별 주택 (동별)","","1792","1793","1737","1632","1553",
"송파구","종류별 주택수","주택종류별 주택 (동별)","","199739","208692","211578","215731","220192",
"송파구","단독주택","주택종류별 주택 (동별)","","8441","8255","8072","7791","7657",
"송파구","일반단독주택","주택종류별 주택 (동별)","","494","446","431","427","420",
"송파구","다가구주택","주택종류별 주택 (동별)","","5997","5860","5705","5478","5365",
"송파구","영업겸용주택","주택종류별 주택 (동별)","","1950","1949","1936","1886","1872",
