구명,도서관명,주소,Latitude,Longitude
강남구,역삼도서관,"서울특별시 강남구 역삼로7길 16, 5층",37.4953545,127.0332497
강남구,강남구립못골도서관,서울특별시 강남구 자곡로 116,37.4715346,127.096482
강남구,행복한도서관,서울특별시 강남구 영동대로65길 24(대치2문화센터 3층),37.5022565,127.0641674
종로구,4.19혁명기념도서관,서울특별시 종로구 새문안로 17,37.5674948,126.9676947
양천구,갈산도서관,서울특별시 양천구 목동남로4길 48-6,37.5088999,126.8673582
양천구,개울건강도서관,서울특별시 양천구 중앙로52길 56,37.5259743,126.8566371
양천구,목마교육도서관,서울특별시 양천구 목동서로 41 목5동주민센터,37.5371069,126.8817151
양천구,미감도서관,서울특별시 양천구 목동중앙남로 57-10(목동) 목사랑시장고객주차장 및 공유센터 3층,37.5375879,126.866191
양천구,방아다리문학도서관,서울특별시 양천구 화곡로4길 10,37.5385543,126.8272033
양천구,신월음악도서관,서울특별시 양천구 오목로5길 34,37.5247014,126.8400911
양천구,양천중앙도서관,서울특별시 양천구 신정로7길 81,37.5136515,126.83363
양천구,영어특성화도서관,서울특별시 양천구 목동동로 81 해누리타운 7층 양천영어도서관 및 영어체험센터,37.5159278,126.8638154
양천구,해맞이역사도서관,서울특별시 양천구 지양로 37,37.5197426,126.8349027
서대문구,홍은도담도서관,서울특별시 서대문구 홍은중앙로 129,37.6017549,126.9490409
서대문구,남가좌새롬어린이도서관,서울특별시 서대문구 증가로10길 16-15,37.5783326,126.9240342
서대문구,서대문구립이진아기념도서관,서울특별시 서대문구 독립문공원길 80,37.5742169,126.9561692
성북구,성북정보도서관,서울특별시 성북구 화랑로18자길 13,37.6050025,127.0507423
송파구,지샘터올림픽공원도서관,서울특별시 송파구 올림픽로 424(방이동) 스포츠비즈홀 1층,37.5210311,127.1161652
종로구,아름꿈도서관,서울특별시 종로구 종로58가길 19,37.5726524,127.0170718
종로구,청운문학도서관,서울특별시 종로구 자하문로36길 40,37.5903983,126.9658561
종로구,어린이청소년 국학도서관,서울특별시 종로구 명륜길 26,37.5886873,126.995538
관악구,관악중앙도서관,서울특별시 관악구 신림로 3길 35,37.4675139,126.9448053
관악구,글빛정보도서관,서울특별시 관악구 관악로 30길 23,37.4862626,126.9596694
관악구,성현동작은도서관,서울특별시 관악구 관악로37길 56 동아아파트 상가B동 5층,37.4878982,126.9561805
관악구,은천동작은도서관,서울특별시 관악구 봉천로33나길 30,37.4853082,126.9424256
관악구,조원도서관,서울특별시 관악구 조원로12길 25,37.4825591,126.9077925
구로구,개봉도서관,서울특별시 구로구 개봉로16길 30-11,37.4894288,126.8584501
구로구,개봉어린이도서관,서울특별시 구로구 경인로 318-15,37.4967509,126.8559052
구로구,구로구립온누리도서관,"서울특별시 구로구 구로중앙로27나길 9, 4층 (구로초등학교 온누리관)",37.4968195,126.8858694
구로구,구로기적의도서관,서울특별시 구로구 구로중앙로40길 24(신도림동),37.506727,126.8773683
구로구,구로꿈나무도서관,"서울특별시 구로구 구로동로26길 54, 2층 (구로구시설관리공단)",37.49743161,127.0641762
구로구,궁동어린이도서관,서울특별시 구로구 오리로 1352,37.5021094,126.8293237
구로구,글마루한옥어린이도서관,서울특별시 구로구 고척로27바길 7,37.507011,126.8455637
구로구,꿈마을도서관,서울특별시 구로구 디지털로27다길 65,37.4872133,126.8900948
구로구,하늘도서관,서울특별시 구로구 구로동로13길 68,37.4874419,126.8810523
구로구,항동푸른도서관,서울특별시 구로구 연동로 290-46 (항동),37.4858255,126.8268985
강서구,등빛도서관,서울특별시 강서구 강서로62길 48,37.5624258,126.842382
강서구,가양도서관,서울특별시 강서구 양천로61길101(가양동 1493),37.5599598,126.86556
강서구,강서영어도서관,서울특별시 강서구 곰달래로57가길 26,37.5345612,126.8607912
강서구,곰달래도서관,"서울특별시 강서구 강서로5길 50 (곰달래문화복지센터 5, 6층)",37.5289008,126.8488134
강서구,길꽃어린이도서관,서울특별시 강서구 금낭화로24길 5,37.5787056,126.813676
강서구,꿈꾸는어린이도서관,서울특별시 강서구 공항대로 615,37.5473594,126.8733386
강서구,우장산숲속도서관,서울특별시 강서구 우현로 34,37.5482678,126.8418504
강서구,푸른들청소년도서관,서울특별시 강서구 강서로45다길 71,37.5446703,126.8351964
동작구,구립김영삼도서관,서울특별시 동작구 매봉로 1(상도1동 611),37.5054755,126.9499888
동작구,까망돌도서관,서울특별시 동작구 서달로 129(흑석동 340-1),37.5050922,126.9605469
동작구,대방어린이도서관,서울특별시 동작구 대방동길55(대방동379-2),37.5030278,126.9252203
동작구,동작어린이도서관,서울특별시 동작구 장승배기로 16길 98(노량진 2동 225-161),37.509114,126.9435624
동작구,사당솔밭도서관,서울특별시 동작구 솔밭로 86,37.4841113,126.9673344
동작구,약수도서관,서울특별시 동작구 양녕로22바길 64(상도동),37.4978865,126.9474364
종로구,서울특별시교육청종로도서관,서울특별시 종로구 사직로9길 15-14,37.5759361,126.967264
성북구,정릉도서관,서울특별시 성북구 정릉로 242,37.6089873,127.0077694
종로구,서울특별시교육청정독도서관,서울특별시 종로구 북촌로5길 48,37.5807787,126.9830411
강서구,서울특별시교육청강서도서관,서울특별시 강서구 등촌로51나길 29,37.5478657,126.8600392
구로구,서울특별시교육청구로도서관,서울특별시 구로구 공원로 15,37.498502,126.8917141
강남구,서울특별시교육청개포도서관,서울특별시 강남구 선릉로4길 30,37.4827901,127.0661436
강남구,서울특별시교육청강남도서관,서울특별시 강남구 선릉로116길 45,37.5141798,127.0468995
금천구,금천구립가산도서관,서울특별시 금천구 가산로5길 43,37.4734934,126.8921255
금천구,금천구립금나래도서관,서울특별시 금천구 시흥대로73길 70,37.4568163,126.8954085
금천구,금천구립독산도서관,서울특별시 금천구 독산로54길 114,37.467496,126.9080765
금천구,금천구립시흥도서관,서울특별시 금천구 금하로 764(시흥동) 금천종합복지타운(시흥2동주민센터),37.449608,126.914405
