"동별(1)","동별(2)",항목,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4,2023 2/4
"동별(1)","동별(2)",항목,합계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상
"종로구","혜화동",한국인,16058,204,332,499,765,2262,2102,1201,792,981,998,1281,1032,934,756,544,537,478,250,87,17,6
"종로구","혜화동",외국인,3288,11,6,4,137,1883,886,186,65,36,16,23,10,18,4,-,2,-,-,1,-,-
"중구","소공동",계,3559,109,162,160,134,121,214,355,396,460,368,320,239,184,153,77,45,38,15,5,3,1
"중구","소공동",한국인,2207,58,95,73,58,80,158,252,226,288,212,177,140,121,112,62,41,32,14,5,3,-
"중구","소공동",외국인,1352,51,67,87,76,41,56,103,170,172,156,143,99,63,41,15,4,6,1,-,-,1
"중구","회현동",계,5166,97,134,131,136,203,298,338,300,346,364,466,431,574,499,315,229,170,83,35,15,2
"중구","회현동",한국인,4468,77,99,95,112,178,262,295,231,265,299,400,382,514,451,292,222,164,81,32,15,2
"중구","회현동",외국인,698,20,35,36,24,25,36,43,69,81,65,66,49,60,48,23,7,6,2,3,-,-
"중구","명동",계,3610,36,71,81,110,207,311,318,255,283,259,321,291,282,288,173,125,118,52,24,5,-
"중구","명동",한국인,2691,28,37,52,81,129,198,207,164,193,181,240,214,235,259,157,124,112,51,24,5,-
"중구","명동",외국인,919,8,34,29,29,78,113,111,91,90,78,81,77,47,29,16,1,6,1,-,-,-
"중구","필동",계,4905,61,99,85,135,732,674,490,320,279,233,312,286,322,306,186,132,136,71,36,9,1
"중구","필동",한국인,3977,57,93,83,114,348,393,400,273,252,211,299,276,311,299,185,132,136,70,35,9,1
"중구","필동",외국인,928,4,6,2,21,384,281,90,47,27,22,13,10,11,7,1,-,-,1,1,-,-
"중구","장충동",계,5423,56,103,107,212,920,836,489,301,306,282,351,291,285,280,197,161,141,73,28,4,-
"중구","장충동",한국인,4600,44,91,96,196,671,595,404,255,268,246,324,274,266,272,193,161,139,73,28,4,-
"중구","장충동",외국인,823,12,12,11,16,249,241,85,46,38,36,27,17,19,8,4,-,2,-,-,-,-
"중구","광희동",계,7113,77,80,95,168,777,1096,889,534,454,365,448,456,527,378,301,217,162,58,22,9,-
"중구","광희동",한국인,5681,57,59,73,122,436,773,725,429,375,297,373,378,475,362,286,216,159,56,21,9,-
"중구","광희동",외국인,1432,20,21,22,46,341,323,164,105,79,68,75,78,52,16,15,1,3,2,1,-,-
"중구","을지로동",계,2906,87,43,33,42,139,312,424,335,235,176,187,185,214,181,126,87,56,35,8,1,-
"중구","을지로동",한국인,2650,85,40,30,34,88,265,384,313,218,157,175,170,208,176,123,86,56,33,8,1,-
"중구","을지로동",외국인,256,2,3,3,8,51,47,40,22,17,19,12,15,6,5,3,1,-,2,-,-,-
"중구","신당5동",계,10438,228,269,230,272,607,1028,1006,798,751,693,915,912,798,650,435,394,280,114,49,7,2
"중구","신당5동",한국인,10098,222,266,226,266,549,963,974,761,736,675,889,880,774,643,431,392,279,114,49,7,2
"중구","신당5동",외국인,340,6,3,4,6,58,65,32,37,15,18,26,32,24,7,4,2,1,-,-,-,-
"중구","황학동",계,13711,367,356,231,278,784,1746,1738,1357,1150,798,997,887,900,763,509,397,268,120,49,14,2
"중구","황학동",한국인,12810,340,330,216,255,672,1568,1639,1266,1100,752,938,813,846,731,500,395,265,119,49,14,2
"중구","황학동",외국인,901,27,26,15,23,112,178,99,91,50,46,59,74,54,32,9,2,3,1,-,-,-
"중구","중림동",계,12269,514,453,368,349,536,751,971,1158,1171,902,1003,910,950,718,517,442,306,171,64,8,7
"중구","중림동",한국인,11940,498,445,361,345,511,715,936,1106,1131,874,981,888,937,709,512,438,305,169,64,8,7
"중구","중림동",외국인,329,16,8,7,4,25,36,35,52,40,28,22,22,13,9,5,4,1,2,-,-,-
"중구","신당동",계,9007,141,143,111,164,827,1229,953,640,601,515,731,701,727,495,358,308,215,94,41,12,1
"중구","신당동",한국인,7505,115,127,97,150,470,835,782,546,533,468,649,589,654,478,345,305,214,94,41,12,1
