"동별(1)",동별(2),동별(3),2021,2021,2021,2021,2021,2021,2021,2021,2021
"동별(1)",동별(2),동별(3),합계,한국국적을 가지지 않은 자,한국국적을 가지지 않은 자,한국국적을 가지지 않은 자,한국국적을 가지지 않은 자,한국국적을 가지지 않은 자,한국국적을 가지지 않은 자,한국국적을 취득한 자,외국인주민 자녀(출생)
"동별(1)",동별(2),동별(3),소계,소계,외국인근로자,결혼이민자,유학생,외국국적동포,기타외국인,소계,소계
"합계",광진구,구의3동,621,463,74,62,15,176,136,87,71
"합계",광진구,광장동,370,284,26,39,23,72,124,27,59
"합계",광진구,자양1동,1814,1432,247,109,112,576,388,255,127
"합계",광진구,자양2동,763,558,72,67,12,232,175,114,91
"합계",광진구,자양3동,632,454,41,74,41,155,143,86,92
"합계",광진구,자양4동,5844,5293,1096,165,700,1988,1344,416,135
"합계",동대문구,소계,21766,19109,1235,1080,8997,2365,5432,1453,1204
"합계",동대문구,회기동,2693,2632,70,27,1753,98,684,39,22
"합계",동대문구,휘경1동,2620,2534,56,38,1797,95,548,38,48
"합계",동대문구,휘경2동,1117,966,66,47,444,114,295,81,70
"합계",동대문구,청량리동,965,775,132,64,139,243,197,126,64
"합계",동대문구,용신동,2403,2024,241,158,523,489,613,245,134
"합계",동대문구,제기동,2789,2568,156,93,1295,321,703,137,84
"합계",동대문구,전농1동,926,678,48,92,161,144,233,118,130
"합계",동대문구,전농2동,627,537,21,48,302,27,139,38,52
"합계",동대문구,답십리2동,590,406,46,74,49,99,138,101,83
"합계",동대문구,장안1동,1081,760,106,133,76,181,264,162,159
"합계",동대문구,장안2동,729,484,68,102,18,106,190,116,129
"합계",동대문구,이문1동,3741,3609,139,72,2207,206,985,76,56
"합계",동대문구,이문2동,755,594,25,54,162,94,259,73,88
"합계",동대문구,답십리1동,730,542,61,78,71,148,184,103,85
"합계",중랑구,소계,9698,6864,661,1155,831,1494,2723,1395,1439
"합계",중랑구,면목2동,709,513,49,88,58,106,212,102,94
"합계",중랑구,면목4동,627,432,40,67,40,92,193,94,101
"합계",중랑구,면목5동,261,153,13,42,15,23,60,49,59
"합계",중랑구,면목7동,623,470,53,72,46,109,190,72,81
"합계",중랑구,상봉1동,337,219,27,51,12,63,66,44,74
"합계",중랑구,상봉2동,664,502,59,81,35,142,185,91,71
"합계",중랑구,중화1동,375,234,20,54,16,55,89,70,71
"합계",중랑구,중화2동,999,740,85,101,70,208,276,159,100
"합계",중랑구,묵1동,432,259,18,80,21,55,85,62,111
"합계",중랑구,묵2동,489,360,41,55,49,82,133,67,62
"합계",중랑구,망우3동,637,475,13,70,100,36,256,78,84
"합계",중랑구,신내1동,385,203,27,62,6,36,72,61,121
"합계",중랑구,신내2동,192,117,21,48,*,20,25,29,46
"합계",중랑구,면목본동,1496,1131,107,124,203,264,433,210,155
"합계",중랑구,면목3.8동,787,582,43,71,112,103,253,110,95
"합계",중랑구,망우본동,685,474,45,89,45,100,195,97,114
"합계",성북구,소계,15657,13081,714,1072,5676,1358,4261,1109,1467
"합계",성북구,돈암1동,203,156,7,29,35,40,45,21,26
"합계",성북구,돈암2동,257,179,6,53,5,73,42,20,58
"합계",성북구,안암동,2346,2257,117,43,1426,116,555,41,48
"합계",성북구,보문동,639,506,36,52,129,106,183,67,66
"합계",성북구,정릉1동,292,221,10,33,88,32,58,28,43
"합계",성북구,정릉2동,430,319,13,56,81,39,130,42,69
"합계",성북구,정릉3동,1711,1606,42,23,978,54,509,48,57
"합계",성북구,정릉4동,727,581,21,68,309,47,136,60,86
"합계",성북구,길음1동,384,254,7,66,6,53,122,41,89
"합계",성북구,길음2동,290,193,12,31,41,51,58,41,56
"합계",성북구,월곡1동,476,286,33,68,24,69,92,84,106
"합계",성북구,월곡2동,803,658,78,57,176,75,272,64,81
"합계",성북구,장위1동,463,275,24,67,36,43,105,71,117
"합계",성북구,장위2동,450,312,23,46,44,34,165,70,68
"합계",성북구,장위3동,266,208,14,33,51,22,88,17,41
"합계",성북구,성북동,648,517,29,63,47,99,279,53,78
"합계",성북구,삼선동,813,690,30,50,342,76,192,57,66
"합계",성북구,동선동,885,836,54,34,462,70,216,20,29
"합계",성북구,종암동,2155,1900,94,91,1030,107,578,120,135
"합계",성북구,석관동,1419,1127,64,109,366,152,436,144,148
"합계",강북구,소계,7225,4918,394,853,854,1114,1703,1079,1228
"합계",강북구,번1동,717,535,34,67,119,137,178,99,83
"합계",강북구,번2동,242,139,11,36,5,28,59,38,65
"합계",강북구,번3동,215,97,7,40,*,11,38,36,82
"합계",강북구,수유1동,452,266,19,58,21,53,115,82,104
"합계",강북구,수유2동,352,199,13,45,32,34,75,70,83
"합계",강북구,수유3동,790,584,52,79,155,116,182,110,96
"합계",강북구,삼양동,430,257,22,67,31,45,92,62,111
"합계",강북구,미아동,868,677,43,66,172,142,254,102,89
"합계",강북구,송중동,1004,791,73,84,190,218,226,116,97
"합계",강북구,송천동,899,652,71,94,87,173,227,138,109
"합계",강북구,삼각산동,294,164,*,63,*,30,67,58,72
"합계",강북구,우이동,393,223,25,65,8,61,64,66,104
"합계",강북구,인수동,569,334,21,89,32,66,126,102,133
"합계",도봉구,소계,4882,3032,303,692,417,636,984,808,1042
"합계",도봉구,쌍문1동,543,389,14,60,179,44,92,59,95
"합계",도봉구,쌍문2동,365,226,32,53,13,51,77,55,84
"합계",도봉구,쌍문3동,364,230,30,43,31,55,71,71,63
"합계",도봉구,쌍문4동,134,64,5,24,*,19,15,25,45
"합계",도봉구,방학1동,519,339,35,74,60,65,105,87,93
"합계",도봉구,방학2동,508,303,53,63,23,59,105,101,104
"합계",도봉구,방학3동,192,103,*,33,6,17,43,22,67
"합계",도봉구,창1동,314,200,18,42,16,71,53,63,51
"합계",도봉구,창2동,555,350,48,72,29,59,142,96,109
"합계",도봉구,창3동,268,144,6,36,10,33,59,49,75
"합계",도봉구,창4동,187,124,13,33,7,28,43,22,41
"합계",도봉구,창5동,250,153,27,44,9,31,42,38,59
"합계",도봉구,도봉1동,362,209,8,64,20,46,71,72,81
"합계",도봉구,도봉2동,321,198,10,51,13,58,66,48,75
"합계",노원구,소계,7829,5672,386,965,1884,623,1814,852,1305
"합계",노원구,월계1동,975,849,52,45,483,50,219,61,65
"합계",노원구,월계2동,427,241,17,73,15,39,97,71,115
"합계",노원구,월계3동,406,259,19,83,16,39,102,53,94
"합계",노원구,공릉2동,1437,1268,29,76,687,41,435,51,118
"합계",노원구,하계1동,656,575,25,39,289,28,194,32,49
"합계",노원구,하계2동,144,83,5,35,*,16,24,22,39
"합계",노원구,중계본동,149,81,*,21,*,27,25,24,44
"합계",노원구,중계1동,208,130,50,30,*,25,25,32,46
